Enable on Product page,Aktiver på Produktside
Enable on Cart Summary,Aktiver i indkøbskurven
Enable on Checkout Summary,Aktiver på ordreoverblik
"This order was placed in ViaBill Test Mode and should not be shipped! If you have any questions about this order, please contact ViaBill Support.","Denne ordre blev placeret i ViaBill testtilstand og bør ikke sendes! Hvis du har spørgsmål om denne ordre, kan du kontakte ViaBill support."
ViaBill is currently set to Test Mode. All orders placed with ViaBill should not be shipped! Remember to disable Test Mode before offering ViaBill on your store.,"ViaBill er sat til testtilstand. Alle ordrer afgivet med ViaBill bør ikke sendes! Husk at deaktivere testtilstand, før ViaBill tilbydes på din butik."
Module Info,Modul Info
Module Version,Modul Version
System Info,System Info
Hide in Checkout,Skjul i Checkout
"If enabled, the Viabill payment mode will not be available in the checkout step.","Hvis den er aktiveret, vil Viabill betalingstilstand ikke være tilgængelig i kassen."
